id;tweet
3600;The only person with a vagina that I value is my MOTHER, and even she is a dumb retard. Women are oNLY good for making babies.*
3601;@Steffersxoxo I'm 16. Had plenty of women. They all suck b
3602;When your pathetic ex finally dies https://t.co/lnIDW2t1x0
3603;When you forget to finish contouring https://t.co/b5z1mqeZU1
3604;@keef1985_ @Vaughan1878 idk buddy, I'm not a meme historian
3605;I kinda want to see you again just so I can punch you in the kidney. #WomenSuck
3606;This bitch out here settin up dick appointments and your lame ass can't even get a text back https://t.co/a42yzUSTCY
3607;Ladies we dont hate you for your size or looks, we hate you becuase youre all conniving bitches with no souls! #WomenSuck
3608;These feminists are just too-ugly sluts who want attention!?!
3609;Hoe https://t.co/lR76lS6O6v
3610;There is soo much shit I have to say about how fucked up those creatures with vaginas are. But words can't even explain......
3611;When you're trying to enjoy a nice date but your boyfriend won't stop texting you and interrupting it https://t.co/g2ZGvzDOed
3612;Today my daughter got her period. I guess It's time to throw her away and get a new one, right? LOL Fuck her, stupid bitch kid. I hate my !
3613;Roster reconfiguration season is coming up
3614;I can tell when your relationship is going well cause I don't hear from you
3615;How to kidnap me https://t.co/Q46Xocec8k
3616;Best gift ever 😘 https://t.co/xdZL6RVWLU
3617;If he likes cheese on his pizza, he's an asshole. 🍕
3618;C'mon everyone Re-Tweet this to spread the word! #WomenSuck
3619;If you only knew what your name is in my phone. 😈
3620;When you're Twitter beefin with Brits but don't know who's talkin shit cause you can't understand their slang 🤔
3621;"Had to explain WIFI to someone to day. Yes it was a WOMAN. They say they don't want men but then this?;;"
3622;Shoutout to Rihanna for writing my theme song 'Sex With Me'
3623;We can't have a woman in the White House. What if she starts PMSing and drops bombs everywhere?^
3624;Idk who these things are or why they're popular all of the sudden... And that's my meme about that https://t.co/qpznqPh5rT
3625;Idk how to feel about the tweet that followed this 🤔 https://t.co/93VeLIGIrR
3626;Me https://t.co/cgZaAbBQ8R
3627;@bad__TEMPER girls are attention whores #WomenSuck
3628;When the lemonade stand didn't work out so you and the crew decide it's time to rob a bank https://t.co/V5C1pDBuGE
3629;It's National Kissing Day... So you can all kiss my mutha fuckin ass
3630;When you have a threesome with a clown and he gives you both facials https://t.co/3bLU6Xd8tM
3631;Well it's a mystery to me too https://t.co/PDMgmgL8DB
3632;My mouth stays shut... I cut people off for reasons they may never be smart enough to figure out
3633;Co worker- happy hump day! Me- https://t.co/FgLqvnMhFf
3634;😘😘😘 https://t.co/2Q8tw0Csn6
3635;Friend- you really need to chill on the drinking and sleeping around Me- https://t.co/SfPfJxhYzd
3636;Why do girls follow me? All I do is make fun of them for how dumb they are #WomenSuck
3637;I wanna care sometimes, but this 'fuck it, who cares' attitude is too strong
3638;Once upon a time I knew a woman that didn't suck.... Just kidding, no I didn't....
3639;No that little tattoo of a flower on your ankle doesn't make you a whore... Or your trampstamp... Fuck it, YOU'RE A WHORE #WomenSuck
3640;RIP fat Jonah Hill #ShitWomenDontSay #WomenSuck
3641;RT @LaRoccaSpeaks: NOOOOOOO FUCCCKING WAY, WHAT A BITCH!!!!! YOU THOUGHT ABOUT HOOKIN UP WITH ANOTHER GUY WHILE YOU HAVE A BOYFRIEND. YOU CUNT!!!
3642;Fuck tittie Tuesday, let's make twiddling twat Tuesday a thing
3643;When you're on a first date and they're already too clingy and touchy feely https://t.co/A5eReObkAr
3644;@bonwell @Spacekatgal It's not that hard to address rape in general without painting one gender as perpetual victims and the other as inherently rapists.
3645;@Steffersxoxo weird as fuck cuz women suck. #YouSuck
3646;Snapchat updates their app and it becomes amazing.. Instagram updates their app and it goes to complete fucking shit https://t.co/WhEbXuF66v
3647;I just want a bank account as strong as that chair https://t.co/z0SjeHSGhT
3648;When you wake up in an ugly randoms bed with no recollection of how you got there and none of your clothes in sight https://t.co/YZF3yPHAiE
3649;The list of people I'm going to kill when the 2017 First Annual Purge ensues https://t.co/C9eAyB70Gi
3650;Son- mom, how did you and dad meet? Mom- he had on gray sweats and his dick print was fleekin so I slid in his DM https://t.co/uCc4uH9yui
3651;When you finally catch the mutha fucka getting all your favorite IG accounts deleted https://t.co/bfRTpRrwTN
3652;You don't go to parties with your significant other... You go to parties to try and get other peoples significant others #WomenSuck
3653;My life was really headed in the right direction before I started drinking... At the age of 10...
3654;I am SO GLAD that boarding schools exist, it's a great way to get rid of your mistake non-male kids. Wish I send my wife too/
3655;RT @Scouse_ma: 😂😂😂 https://t.co/ueBm0enQzH
3656;I love the pussy pics I get all day long on snap but when I get sent a dick pic, I block for 'inappropriate snaps' Does that make me sexist?
3657;If we text and I have a pic of your pussy, that's your profile pic in my phone.
3658;The savagery https://t.co/OMpWNvbUoA
3659;I've reached a point in my life where I've realized theres no such thing as a girl that won't hurt you. Eventually they all will #WomenSuck
3660;Do you really think it's hot to dance all over black guys? You've completely ruined your image for us humans #WomenSuck
3661;When you've just gotten married, realize you're stuck with this asshole for life https://t.co/PUCfxKMV3N
3662;Merica AF 💪🏼 https://t.co/4AQOWUssSq
3663;As long as I can eat your ass 😛😘 https://t.co/M4dyjH4kKM
3664;When you spent all weekend saying and putting things in your mouth that you shouldn't have https://t.co/NuU2joa9nj
3665;Pokemon go is quite in fact the real walking dead
3666;Dick em Dick em DOWN...DOWN...DOWN... I'll dick a bitch DOWN...DOWN...DOWN...
3667;@katethewasp @queensoverbitch I hope not cause I fuck lots of my followers 🙃
3668;They're replaceable, your time is not
3669;You chose to walk out of my life. And I'll be damned if I let you walk back in! #WomenSuck
3670;Me flirting- *pulls phone out* 'Look at my dick pic'
3671;There was a time in my life when i really enjoyed talking to girls, now i hope they all get cancer #WomenSuck
3672;Me trying to make it through life https://t.co/3KciOBMgLZ
3673;Life's too short to be giving people second chances
3674;I am PROUD to be an #MRA. If stupid feminists can complain I should be able to complain just as loud. It's only fair.#
3675;I hate When girls don't wanna start anything cuz they don't wanna ruin your friendship I DIDNT WANNA BE FRIENDS FROM THE START #WomenSuck
3676;Don't get offended ladies, men are always right
3677;On The other hand, you women are pieces of meat and should be glad you're even allowed to vote in my country! #WomenSuck
3678;Girls that send me dirty snaps, DMs and texts, keeping my cock hard all day, is the reason I love my life. Thanks, ya dirty lil sluts
3679;@queensoverbitch that's easy... Have sex with me on video and then we leak it 🤗
3680;This is my most accurate understanding of religion https://t.co/REvULxiqST
3681;When you get caught stealing lemonade https://t.co/XQpYVHd6m2
3682;Guys only have one heart so dont play with it.... But they have two balls so play with those #WomenSuck
3683;@jawsew @femfreq You didn’t, “survive,” gamergate. You became an insufferable cunt who finally got what she deserve… https://t.co/gzdeK5fjUa
3684;If a guy doesn't have a psycho ex, then you know his dick game weak AF.
3685;When you see your friend that's in prison posting on Facebook... https://t.co/xvuC20qiFQ
3686;@PennyRed @TIME This is not rape culture for fucks sake. It’s literally just a scumbag taking advantage of their position. Nothing new under the sun.
3687;@abhayagni123 @BMTelle @anitasarkeesian @femfreq Nice, Boys will be boys is not about rape anyway, it's about play… https://t.co/hGISh4kGTN
3688;Sometimes I don't shit for days. And when I finally do, I loose 20 pounds #GaveBirth #ChocolateBaby #CloggedToilet #UnClogItWoman #WomenSuck
3689;Another new day for women to fuck up #WomenSuck
3690;When you realize tomorrow is Monday https://t.co/nIO6Qs5NY4
3691;When your makeup's on point and still nobody wants you https://t.co/JtAXK7HA3w
3692;@fuck________off well what is your sc
3693;When a girl just stops talking to you, don't sweat it guys you did nothing wrong. Girls are just stupid and don't ever know what they want.
