id;tweet;misogynous;misogyny_category;target
1;BITCH I SAW YOU ONE TIME WITH JONATHAN IDEK WHEN AND THOUGHT 'Gotta have her' that was before the entire Twitter saga;1;discredit;active
2;tight pussy fucked by big cock hot goth girl fucked https://t.co/ENVKVz6Got;1;sexual_harassment;active
3;You a pussy bitch watch when I catch you I’m beat tf outta you;1;sexual_harassment;active
4;charli: fuck you bitch charli: omg why am i so extra wjahjaaj;1;discredit;active
5;@danrobertsvoice Woman who accused Nelly of rape after White River concert tells cops to halt investigation https://t.co/yqRYKiK9PG;1;derailing;active
6;Bitch you better be 😂😂 https://t.co/8YaXVNzhcg;1;discredit;active
7;If you ever sad while eating soft chips ahoy you a bitch cause them shits work miracles;1;discredit;active
8;If you don't like where you are in life, move around lil bitch.;1;discredit;active
9;Lemme give you some dick and help you thru it https://t.co/EhKjoN5zQs;1;sexual_harassment;active
10;@Hibachi_Ray You a whore;1;discredit;active
11;@Abby_sanchez699 you need my cock and cum;1;discredit;active
12;@saima55016154 Come on box I show you my cock darling;1;sexual_harassment;active
13;this guy thinks i'm filling my emptiness with netflix and i think the fuck no, you trick ass bitch;1;discredit;passive
14;@frvnki Listen fam. If you're a whore you're a whore 😭😭😭clearly you miss read my tweet if you thought I was calling every female a whore.But yes hmp;1;discredit;active
15;Some guys r absolute assholes n when they r confronted they get another girl 2 speak for them worst cunt. @MichaelR2607;1;discredit;passive
16;ha, you fucking thought. come get your little, bitch. https://t.co/ucD3A1i7np;1;sexual_harassment;active
17;and when i said “fuck it” he was like “what did you say?!” yeah bitch you can hear me when i swear but when i say im starving you ignore me?;1;discredit;active
18;That’s why if you can’t fuck or take dick please let me know right away I’m not gonna be nice about it if you can’t hang;1;sexual_harassment;active
19;"D: DID THAT GUY JUST NOW FLIRT WITH YOU L: No, wait, it's not what you think D. I WON'T HESITATE; BITCH *shoots down the innocent fanboy*";1;discredit;active
20;black pussy riding dick homemade teen high heels https://t.co/HDLkI6MnhU;1;stereotype;active
21;Rica gets so much cock in her licked cunt https://t.co/wqrNHv5UOS;1;sexual_harassment;active
22;@ past me bitch you ok???? you fake ass slut https://t.co/4YGvMiCpKJ;1;discredit;active
23;Send my hoe bitch to go get that load bitch while I'm hitting these moves;1;dominance;passive
24;@AnngelicaaPerez Why you being a pussy for back your shit up hoe;1;discredit;active
25;Your boyfriend acting like a bitch why you still with him? 🗣💀;1;sexual_harassment;active
26;If you holding hit yo pockets bitch I need it all😅;1;discredit;active
27;If your 'fiancé' has a conversation with a bitch like this would you keep her? https://t.co/u1D97BxzUF;1;discredit;active
28;Bitch you a hoe, tf. https://t.co/lZuZqoEeWD;1;discredit;active
29;Lol at the people who think I'm ugly.. bitch you should have seen me before, I was even uglier;1;discredit;active
30;@ashitudeprobs @SanCaneloGringo Block me you dumb bitch. Because I'll go on all day about how nurses are assistants.;1;discredit;active
31;Katie - You are a toxic bitch and will always be one. You got your way. I am going to be fired again anyways. You toxic bitch.;1;stereotype;active
32;Bitch You might as well come eat my ass since your so worried about my shit 😂 dumb bitch;1;discredit;active
33;Niggas Might Want You But You A Regular Bitch To Me;1;discredit;active
